fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
22,063,7225//,G,4119,G,18586,G,76344,193,44,27,49,53,16,4,N,N,N,N,N,N,N
22,063,72251/,G,4119,G,18586,G,76344,193,44,27,49,53,16,4,N,N,N,N,N,N,N
22,063,722511,G,1887,G,9996,G,40445,69,16,4,14,25,8,N,N,N,N,N,N,N,N
22,063,722513,G,2033,G,7562,G,31498,98,16,17,29,26,8,N,N,N,N,N,N,N,N
22,063,722515,H,163,H,809,H,3608,24,12,6,4,N,N,N,N,N,N,N,N,N,N
22,063,81----,G,1373,G,9428,G,40618,233,154,44,23,8,4,N,N,N,N,N,N,N,N
22,063,811///,G,322,G,3878,G,17827,75,52,14,8,N,N,N,N,N,N,N,N,N,N
22,063,8111//,H,212,G,2508,G,11021,48,31,11,6,N,N,N,N,N,N,N,N,N,N
22,063,81111/,G,117,G,1481,G,6078,29,20,7,N,N,N,N,N,N,N,N,N,N,N
22,063,811111,G,116,G,1471,G,6038,28,19,7,N,N,N,N,N,N,N,N,N,N,N
22,063,81112/,G,57,G,762,G,3707,13,8,3,N,N,N,N,N,N,N,N,N,N,N
22,063,811121,H,44,G,689,G,2972,8,4,N,N,N,N,N,N,N,N,N,N,N,N
22,063,811122,G,13,H,73,H,735,5,4,N,N,N,N,N,N,N,N,N,N,N,N
22,063,81119/,J,38,H,265,J,1236,6,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,811192,G,16,G,90,G,296,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,8113//,H,79,G,1142,G,5866,17,14,N,N,N,N,N,N,N,N,N,N,N,N
22,063,81131/,H,79,G,1142,G,5866,17,14,N,N,N,N,N,N,N,N,N,N,N,N
22,063,811310,H,79,G,1142,G,5866,17,14,N,N,N,N,N,N,N,N,N,N,N,N
22,063,8114//,J,30,H,210,H,871,9,6,3,N,N,N,N,N,N,N,N,N,N,N
22,063,81141/,J,10,J,66,J,349,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,811412,J,8,J,53,J,298,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,81149/,J,16,G,122,G,433,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,811490,J,16,G,122,G,433,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,812///,G,288,G,2198,G,9019,64,45,13,N,4,N,N,N,N,N,N,N,N,N
22,063,8121//,H,183,G,1013,G,4233,45,34,8,N,N,N,N,N,N,N,N,N,N,N
22,063,81211/,H,175,G,988,G,4112,42,31,8,N,N,N,N,N,N,N,N,N,N,N
22,063,812112,H,93,H,535,G,2125,21,15,4,N,N,N,N,N,N,N,N,N,N,N
22,063,812113,H,70,G,355,G,1441,19,15,4,N,N,N,N,N,N,N,N,N,N,N
22,063,81219/,G,8,H,25,G,121,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,812199,G,8,H,25,G,121,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,8122//,J,39,J,615,J,2385,5,N,3,N,N,N,N,N,N,N,N,N,N,N
22,063,81221/,J,34,J,609,J,2356,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,812210,J,34,J,609,J,2356,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,8123//,J,17,J,130,J,518,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,8129//,H,49,H,440,H,1883,11,8,N,N,N,N,N,N,N,N,N,N,N,N
22,063,81291/,G,41,H,363,H,1592,5,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,812910,G,41,H,363,H,1592,5,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,81299/,J,8,G,77,G,291,6,6,N,N,N,N,N,N,N,N,N,N,N,N
22,063,812990,J,8,G,77,G,291,6,6,N,N,N,N,N,N,N,N,N,N,N,N
22,063,813///,G,763,G,3352,G,13772,94,57,17,13,3,4,N,N,N,N,N,N,N,N
22,063,8131//,G,686,G,3080,G,12723,81,48,16,11,N,4,N,N,N,N,N,N,N,N
22,063,81311/,G,686,G,3080,G,12723,81,48,16,11,N,4,N,N,N,N,N,N,N,N
22,063,813110,G,686,G,3080,G,12723,81,48,16,11,N,4,N,N,N,N,N,N,N,N
22,063,8133//,J,10,H,52,G,217,5,5,N,N,N,N,N,N,N,N,N,N,N,N
22,063,81331/,J,10,H,52,G,217,5,5,N,N,N,N,N,N,N,N,N,N,N,N
22,063,813312,J,7,J,9,H,45,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,8139//,J,29,H,114,H,449,5,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,81391/,J,11,H,90,G,364,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,813910,J,11,H,90,G,364,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,99----,G,1,J,8,J,228,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,077,------,G,4127,G,49232,G,193536,363,192,74,50,32,10,5,N,N,N,N,N,N,N
22,077,11----,J,42,H,346,G,1450,8,5,N,N,N,N,N,N,N,N,N,N,N,N
22,077,113///,G,9,H,40,G,303,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,1133//,G,9,H,40,G,303,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,11331/,G,9,H,40,G,303,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,113310,G,9,H,40,G,303,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,115///,J,33,H,306,G,1147,5,3,N,N,N,N,N,N,N,N,N,N,N,N
22,077,1151//,J,33,H,306,G,1147,5,3,N,N,N,N,N,N,N,N,N,N,N,N
22,077,11511/,J,33,H,306,G,1147,5,3,N,N,N,N,N,N,N,N,N,N,N,N
22,077,21----,J,98,J,1607,J,6955,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,213///,J,98,J,1607,J,6955,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,2131//,J,98,J,1607,J,6955,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,21311/,J,98,J,1607,J,6955,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,213112,J,98,J,1607,J,6955,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,22----,J,277,J,8602,J,34160,9,3,N,4,N,N,N,N,N,N,N,N,N,N
22,077,221///,J,277,J,8602,J,34160,9,3,N,4,N,N,N,N,N,N,N,N,N,N
22,077,2211//,J,272,J,8555,J,33963,8,N,N,4,N,N,N,N,N,N,N,N,N,N
22,077,22111/,J,232,J,7707,J,30941,7,N,N,4,N,N,N,N,N,N,N,N,N,N
22,077,221112,J,232,J,7707,J,30941,7,N,N,4,N,N,N,N,N,N,N,N,N,N
22,077,23----,G,153,G,1720,G,7269,37,29,5,N,N,N,N,N,N,N,N,N,N,N
22,077,236///,J,28,J,262,J,1060,6,4,N,N,N,N,N,N,N,N,N,N,N,N
22,077,2361//,J,28,J,262,J,1060,6,4,N,N,N,N,N,N,N,N,N,N,N,N
22,077,23611/,J,28,J,262,J,1060,6,4,N,N,N,N,N,N,N,N,N,N,N,N
22,077,236118,J,14,J,155,J,648,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,237///,J,16,G,128,H,562,5,4,N,N,N,N,N,N,N,N,N,N,N,N
22,077,2371//,G,3,J,45,G,175,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,077,238///,J,109,G,1330,G,5647,26,21,3,N,N,N,N,N,N,N,N,N,N,N
22,077,2381//,H,25,G,314,H,1303,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,2382//,J,36,G,375,G,1666,14,13,N,N,N,N,N,N,N,N,N,N,N,N
22,077,23821/,J,18,G,186,G,778,7,7,N,N,N,N,N,N,N,N,N,N,N,N
22,077,238210,J,18,G,186,G,778,7,7,N,N,N,N,N,N,N,N,N,N,N,N
22,077,23822/,J,18,G,189,G,888,7,6,N,N,N,N,N,N,N,N,N,N,N,N
22,077,238220,J,18,G,189,G,888,7,6,N,N,N,N,N,N,N,N,N,N,N,N
22,077,2383//,J,9,H,157,H,607,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,077,2389//,H,39,H,484,H,2071,5,3,N,N,N,N,N,N,N,N,N,N,N,N
22,077,23891/,H,38,H,480,H,2055,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,238910,H,38,H,480,H,2055,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,31----,J,303,J,4754,J,19981,5,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,42----,H,128,H,2174,H,8981,12,N,3,5,N,N,N,N,N,N,N,N,N,N
22,077,423///,J,32,J,785,J,3159,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,424///,G,96,G,1389,G,5822,9,N,N,3,N,N,N,N,N,N,N,N,N,N
22,077,4249//,J,63,G,897,H,3930,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,42491/,J,63,G,897,H,3930,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,424910,J,63,G,897,H,3930,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,44----,G,900,G,7313,G,28322,73,24,27,13,7,N,N,N,N,N,N,N,N,N
22,077,441///,G,86,H,1029,H,4753,8,N,N,3,N,N,N,N,N,N,N,N,N,N
22,077,4411//,H,45,H,663,H,3134,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,4413//,G,41,H,366,H,1619,5,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,44131/,H,26,H,179,H,790,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,441310,H,26,H,179,H,790,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,444///,H,85,G,776,H,3292,8,N,4,N,N,N,N,N,N,N,N,N,N,N
22,077,4441//,G,58,G,561,G,2260,6,N,3,N,N,N,N,N,N,N,N,N,N,N
22,077,44419/,G,58,G,561,G,2260,6,N,3,N,N,N,N,N,N,N,N,N,N,N
22,077,444190,G,58,G,561,G,2260,6,N,3,N,N,N,N,N,N,N,N,N,N,N
22,077,445///,H,237,H,1284,H,5194,14,6,3,N,3,N,N,N,N,N,N,N,N,N
22,077,4451//,H,211,J,1174,H,4960,12,5,3,N,N,N,N,N,N,N,N,N,N,N
22,077,44511/,J,189,J,1052,J,4340,6,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,445110,J,189,J,1052,J,4340,6,N,N,N,N,N,N,N,N,N,N,N,N,N
22,077,44512/,G,22,J,122,H,620,6,4,N,N,N,N,N,N,N,N,N,N,N,N
22,077,445120,G,22,J,122,H,620,6,4,N,N,N,N,N,N,N,N,N,N,N,N
22,077,446///,H,23,H,377,H,1439,7,4,3,N,N,N,N,N,N,N,N,N,N,N
22,077,4461//,H,23,H,377,H,1439,7,4,3,N,N,N,N,N,N,N,N,N,N,N
